city,lat,lng,population
Tokyo,35.6897,139.6922,37977000
Jakarta,-6.2146,106.8451,34540000
Delhi,28.66,77.23,29617000
Mumbai,18.9667,72.8333,23355000
Manila,14.6,120.9833,23088000
Shanghai,31.1667,121.4667,22120000
São Paulo,-23.5504,-46.6339,22046000
Seoul,37.56,126.99,21794000
Mexico City,19.4333,-99.1333,20996000
Guangzhou,23.1288,113.259,20902000
Beijing,39.905,116.3914,19433000
Cairo,30.0561,31.2394,19372000
New York,40.6943,-73.9249,18713220
Kolkāta,22.5411,88.3378,17560000
Moscow,55.7558,37.6178,17125000
Bangkok,13.75,100.5167,17066000
Buenos Aires,-34.5997,-58.3819,16157000
Shenzhen,22.535,114.054,15929000
Dhaka,23.7289,90.3944,15443000
Lagos,6.45,3.4,15279000
Istanbul,41.01,28.9603,15154000
Ōsaka,34.75,135.4601,14977000
Karachi,24.86,67.01,14835000
Bangalore,12.9699,77.598,13707000
Tehran,35.7,51.4167,13633000
Kinshasa,-4.3233,15.3081,13528000
Ho Chi Minh City,10.8167,106.6333,13312000
Los Angeles,34.1139,-118.4068,12750807
Rio de Janeiro,-22.9083,-43.1964,12272000
Nanyang,32.9987,112.5292,12010000
Baoding,38.8671,115.4845,11860000
Chennai,13.0825,80.275,11324000
Chengdu,30.66,104.0633,11309000
Lahore,31.5497,74.3436,11021000
Paris,48.8566,2.3522,11020000
London,51.5072,-0.1275,10979000
Linyi,35.0606,118.3425,10820000
Tianjin,39.1467,117.2056,10800000
Shijiazhuang,38.0422,114.5086,10784600
Zhoukou,33.625,114.6418,9901000
Lima,-12.05,-77.0333,9848000
Hyderābād,17.3667,78.4667,9746000
Handan,36.6116,114.4894,9549700
Bogotá,4.6126,-74.0705,9464000
Weifang,36.7167,119.1,9373000
Nagoya,35.1167,136.9333,9113000
Wuhan,30.5872,114.2881,8962000
Heze,35.2333,115.4333,8750000
Ganzhou,25.8292,114.9336,8677600
Tongshan,34.261,117.1859,8669000
Chicago,41.8373,-87.6862,8604203
Luanda,-8.8383,13.2344,8417000
Changsha,28.1987,112.9709,8394500
Fuyang,32.8986,115.8045,8360000
Kuala Lumpur,3.1478,101.6953,8285000
Jining,35.4,116.5667,8023000
Dongguan,23.0475,113.7493,7981000
Jinan,36.6667,116.9833,7967400
Foshan,23.0292,113.1056,7905700
Hanoi,21.0245,105.8412,7785000
Pune,18.5196,73.8553,7764000
Chongqing,29.5628,106.5528,7739000
Changchun,43.9,125.2,7674439
Zhumadian,32.9773,114.0253,7640000
Ningbo,29.875,121.5492,7639000
Cangzhou,38.3037,116.8452,7544300
Nanjing,32.05,118.7667,7496000
Hefei,31.8639,117.2808,7457027
Ahmedabad,23.03,72.58,7410000
